trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,9,-5.064589426128421,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,1,30.52471124165935,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,11,16.120514203525957,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23692775868212176}",25,3,-10.277835464340852,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.23457028809379765}",25,5,29.322631785473778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,9,2.6912110622584797,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,11,16.592747000201776,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22763768838381274}",30,0,10.75572561596694,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,12,13.560664777063,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,18,12.305823204197049,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,12,14.450339239695744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,18,21.315190725343143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,0,18.838043700221107,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,14,19.466740155593396,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,9,-27.83269050474753,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,8,28.511402911560097,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20804518235702046}",35,21,-40.41186996099089,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,0,-79.50008690154377,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.20392561173421342}",30,16,-1.5581619421786337,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20189651799465538}",30,18,-13.821334961773967,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,8,-29.924379841147072,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
